precip,temp_max,temp_min
0.0,71.0,51.0
1.26,51.0,33.0
0.0,35.0,11.0
0.0,74.0,37.0
0.0,40.0,17.0
0.01,78.0,51.0
0.0,77.0,50.0
0.07,57.0,42.0
0.35,68.0,46.0
0.0,53.0,29.0
0.0,79.0,51.0
0.0,27.0,9.0
0.0,27.0,2.0
0.0,50.0,33.0
0.0,72.0,41.0
0.14,66.0,49.0
0.0,75.0,58.0
0.06,14.0,-1.0
0.0,48.0,20.0
0.01,77.0,54.0
0.0,42.0,24.0
0.0,28.0,8.0
0.02,66.0,41.0
0.0,33.0,-3.0
0.0,24.0,-2.0
0.0,27.0,17.0
0.0,40.0,13.0
0.05,58.0,38.0
0.03,65.0,46.0
0.0,68.0,39.0
