"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-16","0.00",,,"65","47",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-17","0.00",,,"75","47",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-18","0.11",,,"77","57",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-19","0.00",,,"71","50",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-20","0.00",,,"74","53",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-21","0.00",,,"88","52",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-22","0.00",,,"73","54",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-23","0.00",,,"74","48",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-24","0.00",,,"72","40",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-25","0.00",,,"81","40",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-26","0.00",,,"72","51",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-27","0.00",,,"77","46",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-28","0.00",,,"82","44",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-29","0.00",,,"80","45",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-30","0.00",,,"79","44",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-31","0.00",,,"86","46",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-01","0.00",,,"83","51",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-02","0.00",,,"86","51",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-09-03","0.00",,,"88","48",,
